HCPCS,MOD,MOD2,CATG,ALNR,ALR,ARNR,ARR,AZNR,AZR,CANR,CAR,CONR,COR,CTNR,CTR,DCNR,DCR,DENR,DER,FLNR,FLR,GANR,GAR,IANR,IAR,IDNR,IDR,ILNR,ILR,INNR,INR,KSNR,KSR,KYNR,KYR,LANR,LAR,MANR,MAR,MDNR,MDR,MENR,MER,MINR,MIR,MNNR,MNR,MONR,MOR,MSNR,MSR,MTNR,MTR,NCNR,NCR,NDNR,NDR,NENR,NER,NHNR,NHR,NJNR,NJR,NMNR,NMR,NVNR,NVR,NYNR,NYR,OHNR,OHR,OKNR,OKR,ORNR,ORR,PANR,PAR,RINR,RIR,SCNR,SCR,SDNR,SDR,TNNR,TNR,TXNR,TXR,UTNR,UTR,VANR,VAR,VTNR,VTR,WANR,WAR,WINR,WIR,WVNR,WVR,WYNR,WYR,AKNR,AKR,HINR,HIR,PRNR,PRR,VINR,VIR,PEN,FROMDATE,TODATE 
K0041,NU,KU,IN,53.09,0,53.09,0,52.24,0,52.24,0,53.09,0,53.09,0,53.09,0,53.09,0,53.09,0,53.09,0,52.24,0,52.24,0,53.09,0,53.09,0,52.24,0,53.09,0,53.09,0,53.09,0,53.09,0,53.09,0,53.09,0,53.09,0,53.09,0,53.09,0,52.24,0,53.09,0,52.24,0,52.24,0,53.09,0,53.09,0,53.09,0,52.24,0,53.09,0,53.09,0,53.09,0,52.24,0,53.09,0,53.09,0,53.09,0,52.24,0,53.09,0,53.09,0,53.09,0,53.09,0,53.09,0,53.09,0,53.09,0,53.09,0,52.24,0,52.24,0,52.24,0,63.74,0,53.09,0, ,7/01/2021,9/30/2021
K0041,RR, ,IN,4.96,5.09,4.96,5.09,4.93,5.02,4.93,5.02,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.93,5.02,4.93,5.02,4.96,5.09,4.96,5.09,4.93,5.02,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.93,5.02,4.96,5.09,4.93,5.02,4.93,5.02,4.96,5.09,4.96,5.09,4.96,5.09,4.93,5.02,4.96,5.09,4.96,5.09,4.96,5.09,4.93,5.02,4.96,5.09,4.96,5.09,4.96,5.09,4.93,5.02,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.96,5.09,4.93,5.02,5.02,0,5.02,0,5.6,0,5.09,0, ,7/01/2021,9/30/2021
K0041,RR,KE,IN,5.15,5.48,5.15,5.48,5.12,5.4,5.12,5.4,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.12,5.4,5.12,5.4,5.15,5.48,5.15,5.48,5.12,5.4,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.12,5.4,5.15,5.48,5.12,5.4,5.12,5.4,5.15,5.48,5.15,5.48,5.15,5.48,5.12,5.4,5.15,5.48,5.15,5.48,5.15,5.48,5.12,5.4,5.15,5.48,5.15,5.48,5.15,5.48,5.12,5.4,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.15,5.48,5.12,5.4,5.26,0,5.26,0,6.02,0,5.35,0, ,7/01/2021,9/30/2021
K0041,RR,KU,IN,5.36,0,5.36,0,5.21,0,5.21,0,5.36,0,5.36,0,5.36,0,5.36,0,5.36,0,5.36,0,5.21,0,5.21,0,5.36,0,5.36,0,5.21,0,5.36,0,5.36,0,5.36,0,5.36,0,5.36,0,5.36,0,5.36,0,5.36,0,5.36,0,5.21,0,5.36,0,5.21,0,5.21,0,5.36,0,5.36,0,5.36,0,5.21,0,5.36,0,5.36,0,5.36,0,5.21,0,5.36,0,5.36,0,5.36,0,5.21,0,5.36,0,5.36,0,5.36,0,5.36,0,5.36,0,5.36,0,5.36,0,5.36,0,5.21,0,5.21,0,5.21,0,6.37,0,5.36,0, ,7/01/2021,9/30/2021
K0041,UE, ,IN,37.12,38.02,37.12,38.02,36.95,37.68,36.95,37.68,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,36.95,37.68,36.95,37.68,37.12,38.02,37.12,38.02,36.95,37.68,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,36.96,37.69,37.12,38.02,36.95,37.68,36.95,37.68,37.12,38.02,37.12,38.02,37.12,38.02,36.95,37.68,37.12,38.02,37.12,38.02,37.12,38.02,36.95,37.68,37.12,38.02,37.12,38.02,37.12,38.02,36.95,37.68,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,37.12,38.02,36.95,37.68,37.68,0,37.68,0,42.01,0,38.02,0, ,7/01/2021,9/30/2021
K0041,UE,KE,IN,38.56,40.9,38.56,40.9,38.37,40.52,38.37,40.52,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.37,40.52,38.37,40.52,38.56,40.9,38.56,40.9,38.37,40.52,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.38,40.53,38.56,40.9,38.37,40.52,38.37,40.52,38.56,40.9,38.56,40.9,38.56,40.9,38.37,40.52,38.56,40.9,38.56,40.9,38.56,40.9,38.37,40.52,38.56,40.9,38.56,40.9,38.56,40.9,38.37,40.52,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.56,40.9,38.37,40.52,39.46,0,39.46,0,45.19,0,39.91,0, ,7/01/2021,9/30/2021
K0041,UE,KU,IN,39.81,0,39.81,0,39.14,0,39.14,0,39.81,0,39.81,0,39.81,0,39.81,0,39.81,0,39.81,0,39.14,0,39.14,0,39.81,0,39.81,0,39.14,0,39.81,0,39.81,0,39.81,0,39.81,0,39.81,0,39.81,0,39.81,0,39.81,0,39.81,0,39.16,0,39.81,0,39.14,0,39.14,0,39.81,0,39.81,0,39.81,0,39.14,0,39.81,0,39.81,0,39.81,0,39.14,0,39.81,0,39.81,0,39.81,0,39.14,0,39.81,0,39.81,0,39.81,0,39.81,0,39.81,0,39.81,0,39.81,0,39.81,0,39.14,0,39.14,0,39.14,0,47.8,0,39.81,0, ,7/01/2021,9/30/2021
K0042,NU, ,IN,31.03,31.04,31.62,32.22,31.03,31.04,31.03,31.04,32.4,33.79,32.4,33.79,32.4,33.79,32.4,33.79,32.4,33.79,32.4,33.79,31.03,31.04,31.03,31.04,32.4,33.79,32.4,33.79,31.03,31.04,31.69,32.36,31.85,32.69,32.4,33.79,32.4,33.79,32.4,33.79,31.48,31.94,32.4,33.79,31.03,31.04,31.03,31.04,31.03,31.04,31.03,31.04,31.03,31.04,31.03,31.04,32.4,33.79,32.4,33.79,32.4,33.79,31.03,31.04,32.4,33.79,31.95,32.89,32.4,33.79,31.03,31.04,32.4,33.79,32.4,33.79,32.4,33.79,31.03,31.04,32.4,33.79,32.4,33.79,31.03,31.04,32.4,33.78,32.4,33.79,31.03,31.04,32.4,33.79,32.4,33.79,31.03,31.04,29.1,0,29.1,0,50.12,0,33.79,0, ,7/01/2021,9/30/2021
K0042,NU,KE,IN,32.16,33.3,32.83,34.64,32.16,33.3,32.16,33.3,33.73,36.44,33.73,36.44,33.73,36.44,33.73,36.44,33.73,36.44,33.73,36.44,32.16,33.3,32.16,33.3,33.73,36.44,33.73,36.44,32.16,33.3,32.91,34.8,33.1,35.18,33.73,36.44,33.73,36.44,33.73,36.44,32.67,34.32,33.73,36.44,32.16,33.3,32.16,33.3,32.16,33.3,32.16,33.3,32.16,33.3,32.16,33.3,33.73,36.44,33.73,36.44,33.73,36.44,32.16,33.3,33.73,36.44,33.21,35.41,33.73,36.44,32.16,33.3,33.73,36.44,33.73,36.44,33.73,36.44,32.16,33.3,33.73,36.44,33.73,36.44,32.16,33.3,33.72,36.43,33.73,36.44,32.16,33.3,33.73,36.44,33.73,36.44,32.16,33.3,29.61,0,29.61,0,57.4,0,35.81,0, ,7/01/2021,9/30/2021
K0042,NU,KU,IN,31.07,0,33.42,0,31.07,0,31.07,0,36.55,0,36.55,0,36.55,0,36.55,0,36.55,0,36.55,0,31.07,0,31.07,0,36.55,0,36.55,0,31.07,0,33.69,0,34.37,0,36.55,0,36.55,0,36.55,0,32.87,0,36.55,0,31.07,0,31.07,0,31.07,0,31.07,0,31.07,0,31.07,0,36.55,0,36.55,0,36.55,0,31.07,0,36.55,0,34.76,0,36.55,0,31.07,0,36.55,0,36.55,0,36.55,0,31.07,0,36.55,0,36.55,0,31.07,0,36.53,0,36.55,0,31.07,0,36.55,0,36.55,0,31.07,0,27.18,0,27.18,0,69.23,0,36.55,0, ,7/01/2021,9/30/2021
K0042,RR, ,IN,3.1,3.1,3.17,3.23,3.1,3.1,3.1,3.1,3.24,3.38,3.24,3.38,3.24,3.38,3.24,3.38,3.24,3.38,3.24,3.38,3.1,3.1,3.1,3.1,3.24,3.38,3.24,3.38,3.1,3.1,3.18,3.25,3.19,3.28,3.24,3.38,3.24,3.38,3.24,3.38,3.15,3.19,3.24,3.38,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.24,3.38,3.24,3.38,3.24,3.38,3.1,3.1,3.24,3.38,3.2,3.3,3.24,3.38,3.1,3.1,3.24,3.38,3.24,3.38,3.24,3.38,3.1,3.1,3.24,3.38,3.24,3.38,3.1,3.1,3.24,3.38,3.24,3.38,3.1,3.1,3.24,3.38,3.24,3.38,3.1,3.1,2.92,0,2.92,0,5.87,0,3.38,0, ,7/01/2021,9/30/2021
K0042,RR,KE,IN,3.22,3.33,3.29,3.48,3.22,3.33,3.22,3.33,3.37,3.64,3.37,3.64,3.37,3.64,3.37,3.64,3.37,3.64,3.37,3.64,3.22,3.33,3.22,3.33,3.37,3.64,3.37,3.64,3.22,3.33,3.3,3.5,3.31,3.53,3.37,3.64,3.37,3.64,3.37,3.64,3.27,3.43,3.37,3.64,3.22,3.33,3.22,3.33,3.22,3.33,3.22,3.33,3.22,3.33,3.22,3.33,3.37,3.64,3.37,3.64,3.37,3.64,3.22,3.33,3.37,3.64,3.33,3.55,3.37,3.64,3.22,3.33,3.37,3.64,3.37,3.64,3.37,3.64,3.22,3.33,3.37,3.64,3.37,3.64,3.22,3.33,3.37,3.64,3.37,3.64,3.22,3.33,3.37,3.64,3.37,3.64,3.22,3.33,2.97,0,2.97,0,6.87,0,3.58,0, ,7/01/2021,9/30/2021
K0042,RR,KU,IN,3.1,0,3.37,0,3.1,0,3.1,0,3.65,0,3.65,0,3.65,0,3.65,0,3.65,0,3.65,0,3.1,0,3.1,0,3.65,0,3.65,0,3.1,0,3.41,0,3.46,0,3.65,0,3.65,0,3.65,0,3.28,0,3.65,0,3.1,0,3.1,0,3.1,0,3.1,0,3.1,0,3.1,0,3.65,0,3.65,0,3.65,0,3.1,0,3.65,0,3.5,0,3.65,0,3.1,0,3.65,0,3.65,0,3.65,0,3.1,0,3.65,0,3.65,0,3.1,0,3.65,0,3.65,0,3.1,0,3.65,0,3.65,0,3.1,0,2.74,0,2.74,0,8.64,0,3.65,0, ,7/01/2021,9/30/2021
K0042,UE, ,IN,23.27,23.28,23.72,24.18,23.27,23.28,23.27,23.28,24.3,25.33,24.3,25.33,24.3,25.33,24.3,25.33,24.3,25.33,24.3,25.33,23.27,23.28,23.27,23.28,24.3,25.33,24.3,25.33,23.27,23.28,23.77,24.27,23.9,24.53,24.3,25.33,24.3,25.33,24.3,25.33,23.61,23.96,24.3,25.33,23.27,23.28,23.27,23.28,23.27,23.28,23.27,23.28,23.27,23.28,23.27,23.28,24.3,25.33,24.3,25.33,24.3,25.33,23.27,23.28,24.3,25.33,23.97,24.67,24.3,25.33,23.27,23.28,24.3,25.33,24.3,25.33,24.3,25.33,23.27,23.28,24.3,25.33,24.3,25.33,23.27,23.28,24.3,25.33,24.3,25.33,23.27,23.28,24.3,25.33,24.3,25.33,23.27,23.28,21.83,0,21.83,0,37.58,0,25.33,0, ,7/01/2021,9/30/2021
K0042,UE,KE,IN,24.12,24.97,24.63,25.99,24.12,24.97,24.12,24.97,25.29,27.32,25.29,27.32,25.29,27.32,25.29,27.32,25.29,27.32,25.29,27.32,24.12,24.97,24.12,24.97,25.29,27.32,25.29,27.32,24.12,24.97,24.68,26.1,24.83,26.4,25.29,27.32,25.29,27.32,25.29,27.32,24.51,25.75,25.29,27.32,24.12,24.97,24.12,24.97,24.12,24.97,24.12,24.97,24.12,24.97,24.12,24.97,25.29,27.32,25.29,27.32,25.29,27.32,24.12,24.97,25.29,27.32,24.91,26.56,25.29,27.32,24.12,24.97,25.29,27.32,25.29,27.32,25.29,27.32,24.12,24.97,25.29,27.32,25.29,27.32,24.12,24.97,25.29,27.32,25.29,27.32,24.12,24.97,25.29,27.32,25.29,27.32,24.12,24.97,22.21,0,22.21,0,43.04,0,26.84,0, ,7/01/2021,9/30/2021
K0042,UE,KU,IN,23.29,0,25.08,0,23.29,0,23.29,0,27.4,0,27.4,0,27.4,0,27.4,0,27.4,0,27.4,0,23.29,0,23.29,0,27.4,0,27.4,0,23.29,0,25.28,0,25.78,0,27.4,0,27.4,0,27.4,0,24.66,0,27.4,0,23.29,0,23.29,0,23.29,0,23.29,0,23.29,0,23.29,0,27.4,0,27.4,0,27.4,0,23.29,0,27.4,0,26.06,0,27.4,0,23.29,0,27.4,0,27.4,0,27.4,0,23.29,0,27.4,0,27.4,0,23.29,0,27.4,0,27.4,0,23.29,0,27.4,0,27.4,0,23.29,0,20.39,0,20.39,0,51.88,0,27.4,0, ,7/01/2021,9/30/2021
K0043,NU, ,IN,19.25,19.36,19.25,19.36,19.18,19.21,19.18,19.21,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.18,19.21,19.18,19.21,19.25,19.36,19.25,19.36,19.18,19.21,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.18,19.21,19.25,19.36,19.18,19.21,19.18,19.21,19.25,19.36,19.25,19.36,19.25,19.36,19.18,19.21,19.25,19.36,19.25,19.36,19.25,19.36,19.18,19.21,19.25,19.36,19.25,19.36,19.25,19.36,19.18,19.21,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.25,19.36,19.18,19.21,19.21,0,19.21,0,21.32,0,19.36,0, ,7/01/2021,9/30/2021
K0043,NU,KE,IN,19.96,20.78,19.96,20.78,19.87,20.6,19.87,20.6,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.87,20.6,19.87,20.6,19.96,20.78,19.96,20.78,19.87,20.6,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.87,20.6,19.96,20.78,19.87,20.6,19.87,20.6,19.96,20.78,19.96,20.78,19.96,20.78,19.87,20.6,19.96,20.78,19.96,20.78,19.96,20.78,19.87,20.6,19.96,20.78,19.96,20.78,19.96,20.78,19.87,20.6,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.96,20.78,19.87,20.6,19.92,0,19.92,0,22.72,0,20.13,0, ,7/01/2021,9/30/2021
K0043,NU,KU,IN,19.59,0,19.59,0,19.27,0,19.27,0,19.59,0,19.59,0,19.59,0,19.59,0,19.59,0,19.59,0,19.27,0,19.27,0,19.59,0,19.59,0,19.27,0,19.59,0,19.59,0,19.59,0,19.59,0,19.59,0,19.59,0,19.59,0,19.59,0,19.59,0,19.27,0,19.59,0,19.27,0,19.27,0,19.59,0,19.59,0,19.59,0,19.27,0,19.59,0,19.59,0,19.59,0,19.27,0,19.59,0,19.59,0,19.59,0,19.27,0,19.59,0,19.59,0,19.59,0,19.59,0,19.59,0,19.59,0,19.59,0,19.59,0,19.27,0,19.27,0,19.27,0,23.51,0,19.59,0, ,7/01/2021,9/30/2021
K0043,RR, ,IN,1.92,1.93,1.92,1.93,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.92,1.92,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.92,1.92,1.93,1.92,1.92,1.92,1.92,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.92,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.92,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.92,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.93,1.92,1.92,1.92,0,1.92,0,2.13,0,1.93,0, ,7/01/2021,9/30/2021
K0043,RR,KE,IN,2,2.07,2,2.07,1.99,2.06,1.99,2.06,2,2.07,2,2.07,2,2.07,2,2.07,2,2.07,2,2.07,1.99,2.06,1.99,2.06,2,2.07,2,2.07,1.99,2.06,2,2.07,2,2.07,2,2.07,2,2.07,2,2.07,2,2.07,2,2.07,2,2.07,2,2.07,1.99,2.06,2,2.07,1.99,2.06,1.99,2.06,2,2.07,2,2.07,2,2.07,1.99,2.06,2,2.07,2,2.07,2,2.07,1.99,2.06,2,2.07,2,2.07,2,2.07,1.99,2.06,2,2.07,2,2.07,2,2.07,2,2.07,2,2.07,2,2.07,2,2.07,2,2.07,1.99,2.06,1.99,0,1.99,0,2.27,0,2.01,0, ,7/01/2021,9/30/2021
K0043,RR,KU,IN,1.94,0,1.94,0,1.92,0,1.92,0,1.94,0,1.94,0,1.94,0,1.94,0,1.94,0,1.94,0,1.92,0,1.92,0,1.94,0,1.94,0,1.92,0,1.94,0,1.94,0,1.94,0,1.94,0,1.94,0,1.94,0,1.94,0,1.94,0,1.94,0,1.92,0,1.94,0,1.92,0,1.92,0,1.94,0,1.94,0,1.94,0,1.92,0,1.94,0,1.94,0,1.94,0,1.92,0,1.94,0,1.94,0,1.94,0,1.92,0,1.94,0,1.94,0,1.94,0,1.94,0,1.94,0,1.94,0,1.94,0,1.94,0,1.92,0,1.92,0,1.92,0,2.34,0,1.94,0, ,7/01/2021,9/30/2021
K0043,UE, ,IN,14.45,14.54,14.45,14.54,14.38,14.41,14.38,14.41,14.45,14.54,14.45,14.54,14.45,14.53,14.45,14.54,14.45,14.54,14.45,14.54,14.38,14.41,14.38,14.41,14.45,14.53,14.45,14.54,14.38,14.41,14.45,14.54,14.45,14.54,14.45,14.54,14.45,14.53,14.45,14.54,14.45,14.54,14.45,14.54,14.45,14.54,14.45,14.54,14.38,14.41,14.45,14.54,14.38,14.41,14.38,14.41,14.45,14.54,14.45,14.54,14.45,14.54,14.38,14.41,14.45,14.54,14.45,14.53,14.45,14.54,14.38,14.41,14.45,14.54,14.45,14.54,14.45,14.54,14.38,14.41,14.45,14.54,14.45,14.54,14.45,14.54,14.45,14.53,14.45,14.54,14.45,14.54,14.45,14.54,14.45,14.53,14.38,14.41,14.41,0,14.41,0,15.99,0,14.54,0, ,7/01/2021,9/30/2021
K0043,UE,KE,IN,14.99,15.61,14.99,15.61,14.91,15.45,14.91,15.45,14.99,15.61,14.99,15.61,14.98,15.6,14.99,15.61,14.99,15.61,14.99,15.61,14.91,15.45,14.91,15.45,14.98,15.6,14.99,15.61,14.91,15.45,14.99,15.61,14.99,15.61,14.99,15.61,14.98,15.6,14.99,15.61,14.99,15.61,14.99,15.61,14.99,15.61,14.99,15.61,14.91,15.45,14.99,15.61,14.91,15.45,14.91,15.45,14.99,15.61,14.99,15.61,14.99,15.61,14.91,15.45,14.99,15.61,14.98,15.6,14.99,15.61,14.91,15.45,14.99,15.61,14.99,15.61,14.99,15.61,14.91,15.45,14.99,15.61,14.99,15.61,14.99,15.61,14.98,15.6,14.99,15.61,14.99,15.61,14.99,15.61,14.98,15.6,14.91,15.45,14.94,0,14.94,0,17.04,0,15.12,0, ,7/01/2021,9/30/2021
K0043,UE,KU,IN,14.72,0,14.72,0,14.45,0,14.45,0,14.72,0,14.72,0,14.7,0,14.72,0,14.72,0,14.72,0,14.45,0,14.45,0,14.7,0,14.72,0,14.45,0,14.72,0,14.72,0,14.72,0,14.7,0,14.72,0,14.72,0,14.72,0,14.72,0,14.72,0,14.45,0,14.72,0,14.45,0,14.45,0,14.72,0,14.72,0,14.72,0,14.45,0,14.72,0,14.7,0,14.72,0,14.45,0,14.72,0,14.72,0,14.72,0,14.45,0,14.72,0,14.72,0,14.72,0,14.7,0,14.72,0,14.72,0,14.72,0,14.7,0,14.45,0,14.45,0,14.45,0,17.63,0,14.72,0, ,7/01/2021,9/30/2021
K0044,NU, ,IN,16.67,16.68,16.67,16.68,16.42,16.42,16.42,16.42,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.42,16.42,16.42,16.42,16.67,16.68,16.67,16.68,16.42,16.42,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.42,16.42,16.67,16.68,16.42,16.42,16.42,16.42,16.67,16.68,16.67,16.68,16.67,16.68,16.42,16.42,16.67,16.68,16.67,16.68,16.67,16.68,16.42,16.42,16.67,16.68,16.67,16.68,16.67,16.68,16.42,16.42,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.67,16.68,16.42,16.42,16.54,0,16.54,0,18.34,0,16.68,0, ,7/01/2021,9/30/2021
K0044,NU,KE,IN,17.28,17.89,17.28,17.89,17.02,17.61,17.02,17.61,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.02,17.61,17.02,17.61,17.28,17.89,17.28,17.89,17.02,17.61,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.02,17.61,17.28,17.89,17.02,17.61,17.02,17.61,17.28,17.89,17.28,17.89,17.28,17.89,17.02,17.61,17.28,17.89,17.28,17.89,17.28,17.89,17.02,17.61,17.28,17.89,17.28,17.89,17.28,17.89,17.02,17.61,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.28,17.89,17.02,17.61,17.11,0,17.11,0,19.49,0,17.29,0, ,7/01/2021,9/30/2021
K0044,NU,KU,IN,16.7,0,16.7,0,16.43,0,16.43,0,16.7,0,16.7,0,16.7,0,16.7,0,16.7,0,16.7,0,16.43,0,16.43,0,16.7,0,16.7,0,16.43,0,16.7,0,16.7,0,16.7,0,16.7,0,16.7,0,16.7,0,16.7,0,16.7,0,16.7,0,16.43,0,16.7,0,16.43,0,16.43,0,16.7,0,16.7,0,16.7,0,16.43,0,16.7,0,16.7,0,16.7,0,16.43,0,16.7,0,16.7,0,16.7,0,16.43,0,16.7,0,16.7,0,16.7,0,16.7,0,16.7,0,16.7,0,16.7,0,16.7,0,16.43,0,16.43,0,16.43,0,20.02,0,16.7,0, ,7/01/2021,9/30/2021
K0044,RR, ,IN,1.67,1.67,1.67,1.67,1.65,1.65,1.65,1.65,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.65,1.65,1.65,1.65,1.67,1.67,1.67,1.67,1.65,1.65,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.65,1.65,1.67,1.67,1.65,1.65,1.65,1.65,1.67,1.67,1.67,1.67,1.67,1.67,1.65,1.65,1.67,1.67,1.67,1.67,1.67,1.67,1.65,1.65,1.67,1.67,1.67,1.67,1.67,1.67,1.65,1.65,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.65,1.65,1.66,0,1.66,0,1.83,0,1.67,0, ,7/01/2021,9/30/2021
K0044,RR,KE,IN,1.73,1.79,1.73,1.79,1.71,1.77,1.71,1.77,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.71,1.77,1.71,1.77,1.73,1.79,1.73,1.79,1.71,1.77,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.71,1.77,1.73,1.79,1.71,1.77,1.71,1.77,1.73,1.79,1.73,1.79,1.73,1.79,1.71,1.77,1.73,1.79,1.73,1.79,1.73,1.79,1.71,1.77,1.73,1.79,1.73,1.79,1.73,1.79,1.71,1.77,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.73,1.79,1.71,1.77,1.71,0,1.71,0,1.94,0,1.73,0, ,7/01/2021,9/30/2021
K0044,RR,KU,IN,1.67,0,1.67,0,1.64,0,1.64,0,1.67,0,1.67,0,1.67,0,1.67,0,1.67,0,1.67,0,1.64,0,1.64,0,1.67,0,1.67,0,1.64,0,1.67,0,1.67,0,1.67,0,1.67,0,1.67,0,1.67,0,1.67,0,1.67,0,1.67,0,1.64,0,1.67,0,1.64,0,1.64,0,1.67,0,1.67,0,1.67,0,1.64,0,1.67,0,1.67,0,1.67,0,1.64,0,1.67,0,1.67,0,1.67,0,1.64,0,1.67,0,1.67,0,1.67,0,1.67,0,1.67,0,1.67,0,1.67,0,1.67,0,1.64,0,1.64,0,1.64,0,1.98,0,1.67,0, ,7/01/2021,9/30/2021
K0044,UE, ,IN,12.5,12.51,12.5,12.51,12.29,12.29,12.29,12.29,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.29,12.29,12.29,12.29,12.5,12.51,12.5,12.51,12.29,12.29,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.29,12.29,12.5,12.51,12.29,12.29,12.29,12.29,12.5,12.51,12.5,12.51,12.5,12.51,12.29,12.29,12.5,12.51,12.5,12.51,12.5,12.51,12.29,12.29,12.5,12.51,12.5,12.51,12.5,12.51,12.29,12.29,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.5,12.51,12.29,12.29,12.39,0,12.39,0,13.75,0,12.51,0, ,7/01/2021,9/30/2021
